EMPRESA;ID_EMPRESA;TIPO_OPERADOR;ANNO;TRIMESTRE;FECHA;HORA_INICIO;HORA_FIN;DURACION;PROGRAMA;CLASIFICACION;GENERO;TIPO;CLOSED_CAPTION;LENGUA_SENAS;SUBTITULADO;LENGUAS_NATIVAS
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;00:00:33;00:28:33;00:28:00;HUELLAS DEL AMADO;FAMILIAR;NO FICCIÓN;EDUCATIVO;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;00:30:15;00:59:10;00:28:55;PLAN B;FAMILIAR;NO FICCIÓN;EDUCATIVO;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;01:00:14;02:28:14;01:28:00;DESDE EL PÚLPITO;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;02:30:15;03:29:15;00:59:00;MENSAJE DE ESPERANZA;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;03:30:14;03:58:14;00:28:00;EL PUEDE HACERLO DE NUEVO;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;04:00:14;06:00:14;02:00:00;AVIVAMIENTO ABN;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;06:01:24;06:26:54;00:25:30;EL AMOR QUE VALE;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;06:30:15;07:59:38;01:29:23;MUSICA ABN;FAMILIAR;NO FICCIÓN;MUSICAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;08:00:16;08:59:26;00:59:10;MENSAJE DE ESPERANZA;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;09:00:14;09:28:43;00:28:29;RANDY MORRISON;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;09:30:16;09:58:44;00:28:28;BAYLESS CONLEY;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;10:00:16;10:28:16;00:28:00;MUSICA ABN;FAMILIAR;NO FICCIÓN;MUSICAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;10:30:16;10:58:16;00:28:00;HUELLAS DEL AMADO;FAMILIAR;NO FICCIÓN;EDUCATIVO;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;11:00:16;12:28:16;01:28:00;DESDE EL PÚLPITO;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;12:30:16;12:58:16;00:28:00;LA VOZ DE VICTORIA;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;13:00:16;13:28:04;00:27:48;CLUB 700 HOY;FAMILIAR;NO FICCIÓN;VARIEDADES;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;13:30:16;13:57:16;00:27:00;EL PUEDE HACERLO DE NUEVO;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;14:00:16;14:27:46;00:27:30;MUNDO CRISTIANO;FAMILIAR;INFORMATIVO;NOTICIERO;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;14:30:17;14:58:17;00:28:00;VIVE MAS ;FAMILIAR;NO FICCIÓN;TESTIMONIAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;15:00:16;15:28:26;00:28:10;CORNERSTONE EN ESPAÑOL;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;15:30:16;16:29:16;00:59:00;CONCIERTOS ABN;FAMILIAR;NO FICCIÓN;MUSICAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;16:30:16;16:58:16;00:28:00;SUPERLIBRO;INFANTIL;FICCIÓN;INFANTIL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;17:00:16;17:28:16;00:28:00;ANIMADOS ABN;INFANTIL;FICCIÓN;INFANTIL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;17:30:16;17:58:16;00:28:00;ANIMADOS ABN;INFANTIL;FICCIÓN;INFANTIL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;18:01:08;18:59:08;00:58:00;SIN MITÓMANOS;FAMILIAR;NO FICCIÓN;TESTIMONIAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;19:00:17;19:28:47;00:28:30;NOTICIERO DEL SENADO;FAMILIAR;NO FICCIÓN;ESTATAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;19:30:16;19:58:04;00:27:48;CLUB 700 HOY;FAMILIAR;NO FICCIÓN;VARIEDADES;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;20:00:16;20:27:16;00:27:00;EL PUEDE HACERLO DE NUEVO;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;20:30:16;20:58:46;00:28:30;VIDA DURA;FAMILIAR;NO FICCIÓN;TESTIMONIAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;21:00:16;21:28:44;00:28:28;ES SOBRENATURAL;FAMILIAR;NO FICCIÓN;TESTIMONIAL;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;21:30:16;21:58:16;00:28:00;LA VOZ DE VICTORIA;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN ;800214261;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;22:00:16;00:00:16;02:00:00;AVIVAMIENTO ABN;FAMILIAR;NO FICCIÓN;PREDICACIÓN;NINGUNO;NO;NO;NO
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;900039384;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;06:00:00;06:02:00;00:02:00;HIMNO;FAMILIAR;NO FICCIÓN;ND;NINGUNO;NO;NO;NO
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;900039384;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;06:02:00;07:00:00;00:58:00;AL LIMITE;FAMILIAR;NO FICCIÓN;ND;NINGUNO;NO;NO;NO
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;900039384;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;07:00:00;08:00:00;01:00:00;REP NOTICIAS ;ADULTO;NO FICCIÓN;ND;NINGUNO;NO;NO;NO
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;900039384;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;08:00:00;09:00:00;01:00:00;CUENTOS DE LOS HERMANOS GREEM;INFANTIL;FICCIÓN;ND;NINGUNO;NO;NO;NO
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;900039384;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;09:00:00;10:00:00;01:00:00;QUE GRAN IDEA;INFANTIL;FICCIÓN;ND;NINGUNO;NO;NO;NO
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;900039384;TV Sin Animo de Lucro - Local Abierta;2022;1;2022-03-31;10:00:00;12:00:00;02:00:00;GENERACION BISENTENARIO;FAMILIAR;NO FICCIÓN;ND;NINGUNO;NO;NO;NO
